risk_profile,investment_horizon,investment_amount,recommended_stock_category,recommended_mf_category
Aggressive,Long-term,492233,Small-Cap,ELSS
Conservative,Medium-term,844787,Value,Debt
Aggressive,Medium-term,85561,Small-Cap,Equity
Aggressive,Short-term,175154,Growth,ELSS
Conservative,Medium-term,652469,Index,Debt
Conservative,Medium-term,594770,Dividend,Debt
Aggressive,Long-term,613386,Small-Cap,ELSS
Moderate,Medium-term,414520,Index,Equity
Aggressive,Long-term,919410,Small-Cap,ELSS
Aggressive,Medium-term,66625,Small-Cap,ELSS
Aggressive,Medium-term,972389,Small-Cap,ELSS
Aggressive,Medium-term,396503,Growth,Equity
Conservative,Short-term,343390,Dividend,Debt
Aggressive,Long-term,284732,Small-Cap,ELSS
Moderate,Short-term,912342,Index,Hybrid
Conservative,Medium-term,138658,Dividend,Hybrid
Moderate,Short-term,555255,Value,Hybrid
Moderate,Long-term,402297,Index,ELSS
Moderate,Medium-term,296400,Blend,Equity
Moderate,Short-term,723708,Value,Hybrid
Conservative,Short-term,952556,Dividend,Debt
Conservative,Long-term,924553,Index,Debt
Moderate,Short-term,746332,Value,Hybrid
Moderate,Long-term,752711,Growth,Equity
Conservative,Medium-term,723839,Value,Debt
Conservative,Medium-term,877164,Value,Debt
Conservative,Short-term,463416,Index,Debt
Aggressive,Medium-term,748985,Small-Cap,ELSS
Aggressive,Medium-term,486356,Growth,ELSS
Aggressive,Short-term,664433,Growth,ELSS
Moderate,Medium-term,405722,Blend,Equity
Aggressive,Short-term,108120,Growth,ELSS
Moderate,Long-term,686069,Index,Equity
Moderate,Long-term,723895,Index,Equity
Aggressive,Long-term,316984,Small-Cap,ELSS
Moderate,Short-term,255512,Value,Hybrid
Aggressive,Short-term,909079,Growth,ELSS
Aggressive,Medium-term,201659,Small-Cap,Equity
Conservative,Medium-term,69321,Dividend,Debt
Aggressive,Medium-term,244855,Small-Cap,ELSS
Conservative,Medium-term,53202,Dividend,Debt
Aggressive,Medium-term,197660,Small-Cap,Equity
Aggressive,Short-term,668450,Small-Cap,Equity
Conservative,Short-term,508017,Dividend,Debt
Conservative,Long-term,331375,Dividend,Debt
Aggressive,Long-term,817984,Small-Cap,ELSS
Moderate,Long-term,235743,Growth,Index
Conservative,Long-term,221299,Index,Index
Moderate,Short-term,961245,Index,Hybrid
Moderate,Short-term,293805,Index,Index
Moderate,Short-term,182097,Value,Hybrid
Conservative,Medium-term,409308,Dividend,Debt
Moderate,Medium-term,963178,Index,Equity
Conservative,Long-term,665930,Index,Debt
Moderate,Medium-term,939588,Growth,Equity
Aggressive,Short-term,862275,Small-Cap,Equity
Aggressive,Long-term,463968,Growth,ELSS
Conservative,Long-term,341422,Index,Hybrid
Aggressive,Medium-term,772638,Small-Cap,ELSS
Aggressive,Long-term,104328,Small-Cap,ELSS
Moderate,Medium-term,928269,Index,Index
Conservative,Medium-term,660643,Dividend,Hybrid
Moderate,Long-term,248340,Index,ELSS
Moderate,Medium-term,296342,Growth,Index
Moderate,Medium-term,71201,Growth,Equity
Moderate,Medium-term,345415,Index,Index
Moderate,Medium-term,222810,Index,Equity
Moderate,Long-term,974703,Growth,Equity
Moderate,Short-term,414593,Index,Index
Conservative,Short-term,383722,Dividend,Debt
Aggressive,Medium-term,745193,Growth,ELSS
Moderate,Medium-term,411252,Index,Equity
Moderate,Medium-term,312508,Blend,Index
Moderate,Short-term,911659,Index,Index
Moderate,Medium-term,493121,Blend,Equity
Moderate,Long-term,110353,Growth,Index
Moderate,Long-term,783331,Growth,ELSS
Aggressive,Long-term,702803,Growth,Equity
Aggressive,Short-term,404879,Growth,ELSS
Moderate,Medium-term,180316,Growth,Index
Aggressive,Medium-term,985895,Small-Cap,Equity
Conservative,Medium-term,873996,Index,Debt
Moderate,Short-term,156149,Value,Hybrid
Conservative,Short-term,723209,Index,Debt
Conservative,Short-term,639735,Dividend,Debt
Moderate,Short-term,291775,Index,Hybrid
Aggressive,Long-term,718012,Growth,ELSS
Conservative,Short-term,470662,Index,Debt
Moderate,Short-term,829932,Value,Hybrid
Conservative,Short-term,423113,Dividend,Debt
Conservative,Medium-term,331059,Dividend,Hybrid
Conservative,Medium-term,964881,Dividend,Debt
Conservative,Medium-term,899192,Dividend,Debt
Aggressive,Long-term,299041,Growth,Equity
Conservative,Long-term,712640,Index,Hybrid
Conservative,Short-term,635927,Dividend,Debt
Conservative,Medium-term,910281,Value,Debt
Aggressive,Long-term,121118,Growth,Equity
Conservative,Medium-term,329464,Index,Hybrid
Conservative,Long-term,737952,Dividend,Hybrid
Aggressive,Long-term,497702,Growth,Equity
Aggressive,Short-term,864721,Growth,Equity
Aggressive,Short-term,566229,Small-Cap,ELSS
Conservative,Long-term,765036,Index,Debt
Aggressive,Short-term,155306,Growth,Equity
Aggressive,Long-term,609460,Small-Cap,Equity
Conservative,Long-term,13376,Dividend,Debt
Aggressive,Medium-term,302927,Small-Cap,Equity
Conservative,Short-term,444465,Dividend,Debt
Moderate,Short-term,315169,Index,Hybrid
Aggressive,Short-term,550735,Growth,Equity
Moderate,Medium-term,226937,Index,Equity
Conservative,Medium-term,551001,Index,Hybrid
Aggressive,Medium-term,925301,Growth,ELSS
Conservative,Short-term,801290,Dividend,Debt
Moderate,Short-term,716475,Value,Hybrid
Conservative,Short-term,69834,Dividend,Debt
Aggressive,Medium-term,616348,Growth,ELSS
Aggressive,Medium-term,777283,Growth,Equity
Moderate,Long-term,932043,Growth,Equity
Conservative,Medium-term,467199,Index,Debt
Aggressive,Long-term,422073,Small-Cap,Equity
Moderate,Short-term,900330,Index,Index
Aggressive,Medium-term,898639,Small-Cap,Equity
Aggressive,Short-term,932868,Small-Cap,ELSS
Conservative,Short-term,207057,Dividend,Debt
